CMTS Type:,acr,Version:,8.45,,OTN/Hub Name:,A1Atlanta (GA),,Cities Served:,Atlanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,downloaded 8.45
# of Nodes:,104,Submitted date:,01/18/2015,,Facility DNS:,A1atlanta.ga,,Opt Tran:,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total HHP:,5031,Implementation Date:,01/19/2015,,CLLI Code:,ATLAGA31,,Opt Rec:,101,,MULTI-CONFIG:,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicator City,State,Fiber Node,Corp ID (DST) or Sys Prin (CSG) or SysPrinAgent (CSG),GL,Virtual Node Indicator,Old Node ID (If Applicable),Homes Passed,Optical Transmitter,Optical Receiver,Service Delivery Type,Unit ID (DNS),Unit ID - IP,MAC Domain,Downstream Slot,Downstream Physical Port,I-CMTS Logical Downstream Port,Downstream Freq. (MHz),Downstream Modulation (64 or 256QAM),EDGE QAM Name,EDGE QAM IP,Modular RF Channel ID,EDGE QAM Input Port,EDGE QAM Output Slot,EDGE QAM Output Port,EDGE QAM Output Port Channel,Upstream Slot,Logical Upstream Port,Physical Upstream Port,Upstream Freq. (Mhz),Upstream Channel Width (MHz),"Upstream Modulation (8,16,32,64, 128QAM or QPSK)",Multiplexing Technique,Serving Group,NCP Changes (previous serving groups or notes),Modem Count,Node Group,Downstream Plant,OM-1000 Name,NC-1500 Name,EMM Multicast IP,SI Multicast IP,DSG RADD Name,DSG RADD Device IP,OM-1000 Device IP,SCTE-18 EAS Name,SCTE-18 EAS Encoder IP,SCTE-18 EAS Model,SCTE-18 EAS Multicast IP,SCTE-65 Multicast IP,XAIT Multicast IP,XAIT Device IP,SA (CA) Multicast IP,SA DNCS DBDS Interface IP,VOD Server Group,FFOArea,PlantOps,TechOps,HeadEndOps,MTA Count,MARKET DEFINED 1,MARKET DEFINED 2,MARKET DEFINED 3,MARKET DEFINED 4,MARKET DEFINED 5
Atlanta,GA,A1062,82201800,000570,TBD,,0,54,12D,PacketCable,acr02.a1atlanta.ga.atlanta.comcast.net,68.85.11.96,9,11,0,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,1,"4,5,6",16,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr02.a1atlanta.ga.atlanta.comcast.net-11/0/15/1/16/6,,273,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,80,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,273,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1063B,82201800,000570,TBD,,0,88,24,PacketCable,acr02.a1atlanta.ga.atlanta.comcast.net,68.85.11.96,7,12,6,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,1,"0,1,2",12,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr02.a1atlanta.ga.atlanta.comcast.net-12/6/15/1/12/2,,309,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,104,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,309,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1069,82201800,000570,TBD,,0,80,20B,PacketCable,acr02.a1atlanta.ga.atlanta.comcast.net,68.85.11.96,1,12,0,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,1,"0,1,2",0,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr02.a1atlanta.ga.atlanta.comcast.net-12/0/15/1/0/2,,336,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,66,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,336,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1071,82201800,000570,TBD,,0,73,18D,PacketCable,acr02.a1atlanta.ga.atlanta.comcast.net,68.85.11.96,11,11,2,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,1,"8,9,10",20,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr02.a1atlanta.ga.atlanta.comcast.net-11/2/15/1/20/10,,5,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,1,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,5,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1074,82201800,000570,TBD,A1004,0,98,34,PacketCable,acr02.a1atlanta.ga.atlanta.comcast.net,68.85.11.96,6,12,5,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,1,"4,5,6",10,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr02.a1atlanta.ga.atlanta.comcast.net-12/5/15/1/10/6,,325,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,48,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,325,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1096,82201800,000570,TBD,,0,3,1D,PacketCable,acr02.a1atlanta.ga.atlanta.comcast.net,68.85.11.96,27,9,2,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,3,"8,9,10",5,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr02.a1atlanta.ga.atlanta.comcast.net-9/2/15/3/5/10,,19,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,1,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,19,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1100,82201800,000570,TBD,,0,83,21B,PacketCable,acr02.a1atlanta.ga.atlanta.comcast.net,68.85.11.96,29,9,4,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,3,"0,1,2",9,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr02.a1atlanta.ga.atlanta.comcast.net-9/4/15/3/9/2,,228,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,43,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,228,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1107,82201800,000570,TBD,,0,89,25,PacketCable,acr02.a1atlanta.ga.atlanta.comcast.net,68.85.11.96,19,10,2,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,2,"0,1,2",12,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr02.a1atlanta.ga.atlanta.comcast.net-10/2/15/2/12/2,,296,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,99,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,296,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1108,82201800,000570,TBD,38,0,109,109,PacketCable,acr02.a1atlanta.ga.atlanta.comcast.net,68.85.11.96,14,11,5,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,2,"8,9,10",2,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr02.a1atlanta.ga.atlanta.comcast.net-11/5/15/2/2/10,,0,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,218,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1111,82201800,000570,TBD,,0,90,26,PacketCable,acr02.a1atlanta.ga.atlanta.comcast.net,68.85.11.96,30,9,5,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,3,"4,5,6",10,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr02.a1atlanta.ga.atlanta.comcast.net-9/5/15/3/10/6,,243,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,94,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,243,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1113,82201800,000570,TBD,,305,100,36,PacketCable,acr02.a1atlanta.ga.atlanta.comcast.net,68.85.11.96,28,9,3,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,3,"4,5,6",7,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr02.a1atlanta.ga.atlanta.comcast.net-9/3/15/3/7/6,,99,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,43,
Total Node,,,,,,,305,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,99,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1117,82201800,000570,TBD,,0,106,106,PacketCable,acr02.a1atlanta.ga.atlanta.comcast.net,68.85.11.96,13,11,4,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,2,"0,1,2",0,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr02.a1atlanta.ga.atlanta.comcast.net-11/4/15/2/0/2,,8,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,5,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,8,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1119A,82201800,000570,TBD,,0,111,111,PacketCable,acr02.a1atlanta.ga.atlanta.comcast.net,68.85.11.96,16,11,7,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,2,"4,5,6",7,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr02.a1atlanta.ga.atlanta.comcast.net-11/7/15/2/7/6,,0,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,0,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1119B,82201800,000570,TBD,,0,112,111,PacketCable,acr02.a1atlanta.ga.atlanta.comcast.net,68.85.11.96,15,11,6,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,2,"8,9,10",5,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr02.a1atlanta.ga.atlanta.comcast.net-11/6/15/2/5/10,,0,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,0,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1122,82201800,000570,TBD,,188,1122,1122,PacketCable,acr02.a1atlanta.ga.atlanta.comcast.net,68.85.11.96,13,11,4,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,2,"4,5,6",1,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr02.a1atlanta.ga.atlanta.comcast.net-11/4/15/2/1/6,,0,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,5,
Total Node,,,,,,,188,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Total acr01.a1atlanta.ga.atlanta.comcast.net,,,,,,,743,,,,,,,,,,,,,,,,,,,,,,,,Total acr01.a1atlanta.ga.atlanta.comcast.net,,,,7413,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Total NCP,,,,,,,5031,,,,,,,,,,,,,,,,,,,,,,,,Total NCP,,,,20784,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
