,0 ,Enron-NA - Convertible Private Total,0 ,0 ,0 ,0 ,0 ,,,,,Enron-NA - Convertible Private,,,,,,,,,,,,,,,Enron-NA - Convertible Private, -   ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,
,"426,317,096 ",Enron Global Assets Total,0 ,0 ,0 ,0 ,0 ,,,,,Enron Global Assets,,,,,,,,,,,,,,,Enron Global Assets, -   ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"12,241,006 ",Enron Industrial Markets - US Private Total,0 ,0 ,0 ,0 ,0 ,,,,,Enron Industrial Markets - US Private,,,,,,,,,,,,,,,Enron Industrial Markets - US Private, 0.00 ,(0),0 ,0 ,(0),(0),(0),0 ,0 ,0 ,(0),(0),0 ,0 ,0 ,(0),(0),(0),(0),(0),0 ,(0),0 ,0 ,0 ,(0),0 ,(0),0 ,"269,193 ",(0),0 ,(0),0 ,0 ,(0),(0),0 ,0 ,0 ,(0),0 ,0 ,0 ,0 ,0 ,0 ,(0),(0),(0),0 ,(0),(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"2,416,160 ",Enron Industrial Markets - Convertible - Private Total,0 ,0 ,0 ,0 ,0 ,,,,,Enron Industrial Markets - Convertible - Private,,,,,,,,,,,,,,,Enron Industrial Markets - Convertible - Private, -   ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0 ,Enron Industrial Markets - Priv. Equity Partnerships Total,0 ,0 ,0 ,0 ,0 ,,,,,Enron Industrial Markets - Priv. Equity Partnerships,,,,,,,,,,,,,,,Enron Industrial Markets - Priv. Equity Partnerships, -   ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"848,069 ",Enron Industrial Markets - US Structured Credit-MTM Total,0 ,0 ,0 ,0 ,0 ,,,,,Enron Industrial Markets - US Structured Credit-MTM,,,,,,,,,,,,,,,Enron Industrial Markets - US Structured Credit-MTM, -   ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0 ,Enron Industrial Markets - Accrual Income Total,0 ,0 ,0 ,0 ,0 ,,,,,Enron Industrial Markets - Accrual Income,,,,,,,,,,,,,,,Enron Industrial Markets - Accrual Income, -   ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"15,505,235 ",Enron Industrial Markets Total,0 ,0 ,0 ,0 ,0 ,,,,,Enron Industrial Markets,,,,,,,,,,,,,,,Enron Industrial Markets, 0.00 ,(0),0 ,0 ,(0),(0),(0),0 ,0 ,0 ,(0),(0),0 ,0 ,0 ,(0),(0),(0),(0),(0),0 ,(0),0 ,0 ,0 ,(0),0 ,(0),0 ,"269,193 ",(0),0 ,(0),0 ,0 ,(0),(0),0 ,0 ,0 ,(0),0 ,0 ,0 ,0 ,0 ,0 ,(0),(0),(0),0 ,(0),(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"45,198,203 ",Enron Europe - Private Total,0 ,0 ,0 ,0 ,0 ,,,,,Enron Europe - Private,,,,,,,,,,,,,,,Enron Europe - Private, -   ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"(194,617)",0 ,0 ,0 ,0 ,0 ,"(7,430,693)",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,800,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"(384,783)",0 ,0 ,0 ,0 ,"18,748,616 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"10,748,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,0 ,"32,850 ","(32,850)",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , (800.00), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,
,"26,134,371 ",Enron Europe - Public Total,"(303,888)","3,950,544 ","3,917,135 ","6,989,425 ","6,989,425 ",,,,,Enron Europe - Public,,,,,,,,,,,,,,,Enron Europe - Public," 4,254,432.49 ","4,558,321 ","(303,888)",0 ,0 ,0 ,0 ,"(33,410)","307,229 ",0 ,0 ,0 ,0 ,"2,457,832 ",0 ,"307,229 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"(301,112)",0 ,0 ,0 ,0 ,"301,112 ","(31,000)",0 ,"(293,422)",0 ,0 ,"(880,267)",0 ,0 ,0 ,0 ,0 ,0 ,(0),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"(31,910)",0 ,0 ,"(298,429)",0 ,"(596,859)","(298,429)",0 ,0 ,0 ,0 ,0 ,0 ,"298,429 ","1,193,717 ","65,403 ","261,706 ","589,689 ","294,844 ",0 ,0 ,0 ,0 ,"294,844 ",0 ,"(294,844)","(294,844)",0 ,0 ,"294,844 ",0 ,0 ,"(294,844)",0 ,0 ,0 ,"1,473,786 ","293,111 ",0 ,0 ,0 ,"(78,342)","153,084 ","459,252 ",0 ,0 ,0 ,"(459,252)","(153,084)","306,168 ","(153,084)","(153,084)",0 ,0 ,0 ,0 ,"1,419,493 ","(862,830)","1,530,840 ","(248,268)",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,940 ",0 ,0 ,0 ,0 ,0 ,0 ,"(310,335)",0 ,0 ,(333),"(310,668)",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"310,668 ","310,668 ","12,932 ",0 ,0 ,0 ,"310,305 ",0 ,"620,609 ","(620,609)",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,0 ,(0),0 ,0 ,"64,277 ",0 ,0 ,0 ,0 ,0 ,0 , -   , -   , -   , -   , -   , -   , -   , -   , -   ," (325,608.05)"," (325,608.05)"," (688,439.48)"," (1,604.69)", -   , -   ," 325,264.21 ", -   , -   , -   , -   , -   ," (325,264.21)"," (325,264.21)", -   ," (325,264.21)", -   ," (650,528.42)"," 650,528.42 "," (325,264.21)", -   ," (325,264.21)"," 325,264.00 ", -   ,,,,,,,,,,,
,"71,332,574 ",Enron Europe Total,"(303,888)","3,950,544 ","3,917,135 ","6,989,425 ","6,989,425 ",,,,,Enron Europe,,,,,,,,,,,,,,,Enron Europe," 4,254,432.49 ","4,558,321 ","(303,888)",0 ,0 ,0 ,0 ,"(33,410)","307,229 ",0 ,0 ,0 ,0 ,"2,457,832 ",0 ,"307,229 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"(301,112)",0 ,0 ,0 ,0 ,"301,112 ","(225,617)",0 ,"(293,422)",0 ,0 ,"(880,267)","(7,430,693)",0 ,0 ,0 ,0 ,0 ,(0),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"(31,910)",0 ,0 ,"(298,429)",0 ,"1,203,141 ","(298,429)",0 ,0 ,0 ,0 ,0 ,0 ,"298,429 ","1,193,717 ","65,403 ","261,706 ","589,689 ","294,844 ",0 ,0 ,0 ,0 ,"294,844 ",0 ,"(294,844)","(294,844)",0 ,0 ,"294,844 ",0 ,0 ,"(294,844)",0 ,0 ,0 ,"1,089,002 ","293,111 ",0 ,0 ,0 ,"18,670,274 ","153,084 ","459,252 ",0 ,0 ,0 ,"(459,252)","(153,084)","306,168 ","(153,084)","(153,084)",0 ,0 ,0 ,0 ,"1,419,493 ","(862,830)","1,530,840 ","(248,268)",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,940 ",0 ,0 ,0 ,0 ,0 ,0 ,"(310,335)",0 ,0 ,(333),"(310,668)",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"310,668 ","310,668 ","12,932 ","10,748,000 ",0 ,0 ,"310,305 ",0 ,"620,609 ","(620,609)",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,0 ,"32,850 ","(32,850)",0 ,"64,277 ",0 ,0 ,0 ,0 ,0 ,0 , -   , -   , -   , -   , -   , -   , -   , -   , -   ," (325,608.05)"," (325,608.05)"," (689,239.48)"," (1,604.69)", -   , -   ," 325,264.21 ", -   , -   , -   , -   , -   ," (325,264.21)"," (325,264.21)", -   ," (325,264.21)", -   ," (650,528.42)"," 650,528.42 "," (325,264.21)", -   ," (325,264.21)"," 325,264.00 ", -   ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"5,785,718 ",EBS Public Total,"(157,675)","593,725 ","35,691 ","1,490,291 ","1,490,291 ",,,,,EBS Public,,,,,,,,,,,,,,,EBS Public," 751,399.88 ","(307,320)","365,951 ","783,414 ","(90,644)","(588,328)","(14,843)","45,137 ","(14,168)","(123,333)","67,401 ","(462,296)","(485,236)","633,125 ","396,261 ","183,979 ","(67,393)","179,598 ","672,481 ","316,570 ","826,808 ","91,989 ","117,598 ","(105,129)","(80,870)","247,999 ","(274,286)","292,144 ","(596,570)","930,200 ","(180,652)","20,239 ","(64,880)","(293,005)","(565,320)","(316,809)","(32,587)","(613,385)","(383,777)","3,870 ","738,538 ","1,258,472 ","(350,000)","647,461 ","(202,527)","(412,647)","(507,739)","242,261 ","491,663 ","(412,793)","(674,548)","(246,423)","(66,815)","(8,185)","217,859 ","173,364 ","(61,902)","432,587 ","116,815 ","(158,777)","(782,288)","(264,282)","(55,353)","178,424 ","(474,695)","(140,625)","(87,647)","13,989 ","(684,668)","(187,500)","530,945 ","397,620 ","694,495 ","568,298 ","(144,495)","366,516 ","701,331 ","31,097 ","(1,362,787)","903,272 ","(77,527)","383,923 ","1,871,704 ","1,156,091 ","(850,134)","(175,293)","(187,054)","110,272 ","(260,574)","(798,132)","(527,763)","(351,782)","(1,055,347)","615,619 ","87,946 ","(175,891)","(1,055,347)","(58,630)","234,522 ","(820,825)","(762,195)","(469,043)","(117,261)","175,891 ","(469,043)","(820,825)","(117,261)","(351,782)","(1,055,347)","(58,630)","(175,891)","(410,413)","1,876,172 ","99,668,769 ","234,522 ","234,522 ","762,195 ","(879,456)","(469,043)","(1,583,020)","820,825 ","2,169,324 ","(351,782)","234,522 ","117,261 ","(2,889,305)",0 ,0 ,0 ,0 ,0 ,"(100,000,000)","34,442,919 ","26,788,937 ","9,977,512 ","1,776,817 ","86,788,966 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," (11,216.07)"," 362,925.77 "," 634,819.01 "," 197,756.51 "," (407,634.12)"," 315,881.51 "," (83,098.97)"," (251,118.49)"," (274,743.49)"," 1,065,975.26 "," 100,097.65 "," (413,540.37)"," (510,993.49)"," (918,524.74)"," (471,864.59)"," (733,421.88)"," 26,475.26 "," 555,084.63 "," 245,006.51 "," (144,805.99)"," (1,320,355.48)",,,,,,,,,,,
,"73,530,000 ",EBS Private Total,0 ,0 ,0 ,0 ,0 ,,,,,EBS Private,,,,,,,,,,,,,,,EBS Private, -   ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"(362,073)","(1,046,173)",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"(4,000,000)",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"(3,000,000)",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , -   ," 10,000,000.00 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,
,0 ,EBS Warrants - Private Total,0 ,0 ,0 ,0 ,0 ,,,,,EBS Warrants - Private,,,,,,,,,,,,,,,EBS Warrants - Private, -   ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,
,"79,315,718 ",Enron Broadband Svcs. Total,"(157,675)","593,725 ","35,691 ","1,490,291 ","1,490,291 ",,,,,Enron Broadband Svcs.,,,,,,,,,,,,,,,Enron Broadband Svcs.," 751,399.88 ","(307,320)","365,951 ","783,414 ","(90,644)","(588,328)","(14,843)","45,137 ","(14,168)","(123,333)","67,401 ","(462,296)","(485,236)","633,125 ","396,261 ","183,979 ","(67,393)","179,598 ","672,481 ","316,570 ","826,808 ","91,989 ","117,598 ","(105,129)","(80,870)","247,999 ","(274,286)","292,144 ","(958,643)","(115,973)","(180,652)","20,239 ","(64,880)","(293,005)","(565,320)","(316,809)","(32,587)","(613,385)","(383,777)","3,870 ","738,538 ","1,258,472 ","(350,000)","647,461 ","(202,527)","(412,647)","(507,739)","242,261 ","491,663 ","(412,793)","(674,548)","(246,423)","(66,815)","(8,185)","217,859 ","173,364 ","(61,902)","432,587 ","116,815 ","(158,777)","(782,288)","(264,282)","(55,353)","178,424 ","(474,695)","(140,625)","(87,647)","13,989 ","(684,668)","(187,500)","530,945 ","397,620 ","694,495 ","568,298 ","(144,495)","366,516 ","701,331 ","31,097 ","(1,362,787)","903,272 ","(77,527)","383,923 ","1,871,704 ","1,156,091 ","(850,134)","(175,293)","(187,054)","110,272 ","(260,574)","(798,132)","(527,763)","(351,782)","(5,055,347)","615,619 ","87,946 ","(175,891)","(1,055,347)","(58,630)","234,522 ","(820,825)","(762,195)","(469,043)","(117,261)","175,891 ","(469,043)","(820,825)","(117,261)","(351,782)","(1,055,347)","(58,630)","(175,891)","(410,413)","1,876,172 ","99,668,769 ","234,522 ","234,522 ","762,195 ","(879,456)","(469,043)","(1,583,020)","820,825 ","2,169,324 ","(351,782)","234,522 ","117,261 ","(2,889,305)",0 ,0 ,0 ,0 ,0 ,"(100,000,000)","34,442,919 ","26,788,937 ","9,977,512 ","1,776,817 ","86,788,966 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"(3,000,000)",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , -   ," 10,000,000.00 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," (11,216.07)"," 362,925.77 "," 634,819.01 "," 197,756.51 "," (407,634.12)"," 315,881.51 "," (83,098.97)"," (251,118.49)"," (274,743.49)"," 1,065,975.26 "," 100,097.65 "," (413,540.37)"," (510,993.49)"," (918,524.74)"," (471,864.59)"," (733,421.88)"," 26,475.26 "," 555,084.63 "," 245,006.51 "," (144,805.99)"," (1,320,355.48)",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
